nombre,direccion,telefono,categoria,ubicacion,valoracion,num_reseñas,tiene_web,website,google_maps_link,tipo,estado,fecha_generacion,fecha_contacto,url_demo,notas
Alumidina carpintería de aluminio y pvc,"Carrer del Rosselló, 369, tienda 1, Gràcia, 08025 Barcelona, España",+34 601 49 64 53,carpintero aluminio,Barcelona,4.9,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:27,,https://mack009seo.github.io/localweb-sites/alumidina-carpintería-de-aluminio-y-pvc/,
Carpinteria de aluminio Jos-mar SL.,"Carrer de Cardó, 9, Sants-Montjuïc, 08028 Barcelona, España",+34 934 11 02 90,carpintero aluminio,Barcelona,5,0,False,,,Carpintería metálica y de aluminio,demo_ready,2026-01-03 01:27,,https://mack009seo.github.io/localweb-sites/carpinteria-de-aluminio-jos-mar-sl/,
CARPINTERIA DE ALUMINIO ALUXLINEA S.L.,"Carrer del Molí, 53, Nou Barris, 08016 Barcelona, España",+34 933 53 74 59,carpintero aluminio,Barcelona,1,0,False,,,Carpintero,demo_ready,2026-01-03 01:27,,https://mack009seo.github.io/localweb-sites/carpinteria-de-aluminio-aluxlinea-sl/,
ELECTRICISTA LEANDRO,"Carrer de los Castillejos, 251, Eixample, 08013 Barcelona, España",+34 615 61 01 39,electricista,Barcelona,5,0,False,,,Electricista,demo_ready,2026-01-03 01:27,,https://mack009seo.github.io/localweb-sites/electricista-leandro/,
Electricista Pompeya 24h,"Av. de Catalunya, 73, 77, 08905 L'Hospitalet de Llobregat, Barcelona, España",+34 632 92 35 29,electricista,Barcelona,4.9,0,False,,,Electricista,demo_ready,2026-01-03 01:27,,https://mack009seo.github.io/localweb-sites/electricista-pompeya-24h/,
"Lampistería María K, Lampista","Carrer de la Marina, 234, Eixample, 08013 Barcelona, España",+34 935 41 87 02,electricista,Barcelona,4.9,0,False,,,Electricista,demo_ready,2026-01-03 01:27,,https://mack009seo.github.io/localweb-sites/lampistería-maría-k-lampista/,
RM CLIMATIZACIÓN AEROTERMIA Y REFRIGERACIÓN,"Carrer de Floridablanca, 101, Eixample, 08015 Barcelona, España",+34 630 24 89 41,aire acondicionado,Barcelona,4.9,0,False,,,Empresa de climatización,demo_ready,2026-01-03 01:27,,https://mack009seo.github.io/localweb-sites/rm-climatización-aerotermia-y-refrigeración/,
Instalador de aires acondicionados FS instal·lacions,"Carrer de José Millán González, numero 6, Horta-Guinardó, 08024 Barcelona, España",,aire acondicionado,Barcelona,4.8,0,False,,,Servicio de reparación de aire acondicionado,demo_ready,2026-01-03 01:27,,https://mack009seo.github.io/localweb-sites/instalador-de-aires-acondicionados-fs-installacions/,
AMJ PINTORES BARCELONA,"Carrer de la Foneria, 18, 1ro, 2da, Sants-Montjuïc, 08038 Barcelona, España",+34 651 91 17 21,pintor decorator,Barcelona,5,0,False,,,Pintor,demo_ready,2026-01-03 01:27,,https://mack009seo.github.io/localweb-sites/amj-pintores-barcelona/,
Jardinero Eixample Barcelona,"Carrer de València, 307, Eixample, 08009 Barcelona, España",+34 617 35 81 00,jardinero,Barcelona,0,0,False,,,Servicios de mantenimiento arbóreo,demo_ready,2026-01-03 01:27,,https://mack009seo.github.io/localweb-sites/jardinero-eixample-barcelona/,
Basicgarden,"Travessera de les Corts, 196, Les Corts, 08028 Barcelona, España",+34 652 01 45 41,jardinero,Barcelona,4.6,0,False,,,Jardinero,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/basicgarden/,
Jarclos,"Carrer de Collserola, 22, Gràcia, 08035 Barcelona, España",+34 934 18 32 06,jardinero,Barcelona,4.1,0,False,,,Centro de jardinería,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/jarclos/,
Del&San,"Carrer d'Aragó, 366, planta baja, Eixample, 08009 Barcelona, España",+34 628 91 10 63,limpieza fachadas,Barcelona,4.7,0,False,,,Servicio de limpieza doméstica,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/delsan/,
Rehabilitación de Tejados Tapar en Barcelona,"Ronda de la Guineueta Vella, 54, Nou Barris, 08042 Barcelona, España",+34 931 31 78 68,limpieza fachadas,Barcelona,5,0,False,,,Servicio de restauración de edificios,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/rehabilitación-de-tejados-tapar-en-barcelona/,
LUCIN COCINAS - REFORMA DE INTERIORES.,"Carrer Caterina Albert, 12 - 14, 08907 L'Hospitalet de Llobregat, Barcelona, España",+34 635 85 26 32,reformas cocina,L'Hospitalet de Llobregat,4.9,0,False,,,,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/lucin-cocinas-reforma-de-interiores/,
"Ikra Reformas e Interiorismo, S.L.","Av. de Ventura Gassol, 15, 08901 L'Hospitalet de Llobregat, Barcelona, España",+34 933 38 51 33,reformas cocina,L'Hospitalet de Llobregat,5,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/ikra-reformas-e-interiorismo-sl/,
REFORMAS HOSPITALET,"Carrer Príncep de Bergara, 40, 08901 L'Hospitalet de Llobregat, Barcelona, España",,reformas cocina,L'Hospitalet de Llobregat,3.9,0,False,,,Reformas de cocinas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformas-hospitalet/,
Reformes TOT I MÉS,"Av. d'Europa, 27, 08907 L'Hospitalet de Llobregat, Barcelona, España",+34 699 77 00 93,reformas cocina,L'Hospitalet de Llobregat,4.7,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformes-tot-i-més/,
Reformas AJ MENA,"Rambla de la Marina, 181, 08907 L'Hospitalet de Llobregat, Barcelona, España",+34 933 36 41 02,reformas cocina,L'Hospitalet de Llobregat,4.9,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformas-aj-mena/,
San Josep Banys I Cuines,"Carrer d'Enric Prat de la Riba, 86, 08901 L'Hospitalet de Llobregat, Barcelona, España",+34 930 15 33 37,reformas cocina,L'Hospitalet de Llobregat,4.1,0,False,,,Persona de mantenimiento,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/san-josep-banys-i-cuines/,
Reformes TOT I MÉS,"Av. d'Europa, 27, 08907 L'Hospitalet de Llobregat, Barcelona, España",+34 699 77 00 93,reformas baño,L'Hospitalet de Llobregat,4.7,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformes-tot-i-més/,
Reformas AJ MENA,"Rambla de la Marina, 181, 08907 L'Hospitalet de Llobregat, Barcelona, España",+34 933 36 41 02,reformas baño,L'Hospitalet de Llobregat,4.9,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformas-aj-mena/,
San Josep Banys I Cuines,"Carrer d'Enric Prat de la Riba, 86, 08901 L'Hospitalet de Llobregat, Barcelona, España",+34 930 15 33 37,reformas baño,L'Hospitalet de Llobregat,4.1,0,False,,,Persona de mantenimiento,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/san-josep-banys-i-cuines/,
"Ikra Reformas e Interiorismo, S.L.","Av. de Ventura Gassol, 15, 08901 L'Hospitalet de Llobregat, Barcelona, España",+34 933 38 51 33,reformas baño,L'Hospitalet de Llobregat,5,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/ikra-reformas-e-interiorismo-sl/,
Reformas J y P,"Carrer de Sort, 29, 08904 L'Hospitalet de Llobregat, Barcelona, España",+34 623 50 29 09,reformas baño,L'Hospitalet de Llobregat,4.3,0,False,,,Reformas de baños,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformas-j-y-p/,
Codina,"Carrer de Rafael Campalans, 18-20, 08903 L'Hospitalet de Llobregat, Barcelona, España",+34 630 13 87 82,reformas baño,L'Hospitalet de Llobregat,4.6,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/codina/,
REFORMAS HOSPITALET,"Carrer Príncep de Bergara, 40, 08901 L'Hospitalet de Llobregat, Barcelona, España",,reformas baño,L'Hospitalet de Llobregat,3.9,0,False,,,Reformas de baños,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformas-hospitalet/,
"Ikra Reformas e Interiorismo, S.L.","Av. de Ventura Gassol, 15, 08901 L'Hospitalet de Llobregat, Barcelona, España",+34 933 38 51 33,reformas integrales,L'Hospitalet de Llobregat,5,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/ikra-reformas-e-interiorismo-sl/,
Reformes TOT I MÉS,"Av. d'Europa, 27, 08907 L'Hospitalet de Llobregat, Barcelona, España",+34 699 77 00 93,reformas integrales,L'Hospitalet de Llobregat,4.7,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformes-tot-i-més/,
Reformas Loaiza,"Carrer del Llorer, 51, 08905 L'Hospitalet de Llobregat, Barcelona, España",+34 632 55 55 43,reformas integrales,L'Hospitalet de Llobregat,4.6,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformas-loaiza/,
Reformas.integral,"Avinguda de Tomàs Giménez, 08906 L'Hospitalet de Llobregat, Barcelona, España",+34 666 65 77 83,reformas integrales,L'Hospitalet de Llobregat,0,0,False,,,Reformas,demo_ready,2026-01-03 01:39,,https://mack009seo.github.io/localweb-sites/reformasintegral/,
