prospect_id,nombre,categoria,telefono_normalizado,telefono,direccion,ubicacion,valoracion,num_reseñas,status,date_added,google_maps_link,tiene_web,website,tipo,source_file
BCN-0001,Carpinteria de aluminio Jos-mar SL.,carpintero aluminio,+34934110290,+34 934 11 02 90,"Carrer de Cardó, 9, Sants-Montjuïc, 08028 Barcelona",Barcelona,5.0,0,pending,2026-01-02,,False,,Carpintería metálica y de aluminio,amb_barcelona_sin_web_20260102_223732.csv
BCN-0002,ELECTRICISTA LEANDRO,electricista,+34615610139,+34 615 61 01 39,"Carrer de los Castillejos, 251, Eixample, 08013 Barcelona",Barcelona,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0003,AMJ PINTORES BARCELONA,pintor decorator,+34651911721,+34 651 91 17 21,"Carrer de la Foneria, 18, 1ro, 2da, Sants-Montjuïc, 08038 Barcelona",Barcelona,5.0,0,pending,2026-01-02,,False,,Pintor,amb_barcelona_sin_web_20260102_223732.csv
BCN-0004,Rehabilitación de Tejados Tapar en Barcelona,limpieza fachadas,+34931317868,+34 931 31 78 68,"Ronda de la Guineueta Vella, 54, Nou Barris, 08042 Barcelona",Barcelona,5.0,0,pending,2026-01-02,,False,,Servicio de restauración de edificios,amb_barcelona_sin_web_20260102_223732.csv
BCN-0005,"Ikra Reformas e Interiorismo, S.L.",reformas cocina,+34933385133,+34 933 38 51 33,"Av. de Ventura Gassol, 15, 08901 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Reformas,amb_barcelona_sin_web_20260102_223732.csv
BCN-0006,Carpintería José Ferreiro,carpintero aluminio,+34933323209,+34 933 32 32 09,"Ronda de la Via, 59, 08903 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Carpintería metálica y de aluminio,amb_barcelona_sin_web_20260102_223732.csv
BCN-0007,Mi espacio int,fontanero,+34634136332,+34 634 13 63 32,"Carrer Provença, 52-56, 08901 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0008,"Fontanero,electricista,pintor, reformas, lampista",fontanero,+34602809941,+34 602 80 99 41,"Plaça de Provençana, 08902 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0009,Macris,fontanero,+34934491322,+34 934 49 13 22,"Carrer de les Aigües del Llobregat, 51, 08905 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Fontanero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0010,Instalaciones Lamai,electricista,+34602600686,+34 602 60 06 86,"Carrer Martí Codolar, 47, 08902 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0011,Instalaciones DFG,electricista,+34684149314,+34 684 14 93 14,"08901 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Electricista,amb_barcelona_sin_web_20260102_223732.csv
BCN-0012,Conductos de Aire Acondicionado los Gallegos S.L.,aire acondicionado,+34932615280,+34 932 61 52 80,"Carrer Josep Maria de Sagarra, 41, 08901 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Contratista de aire acondicionado,amb_barcelona_sin_web_20260102_223732.csv
BCN-0013,Solarnavy | Instalación de paneles solares,instalador placas solares,,,,L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Solar energy company,amb_barcelona_sin_web_20260102_223732.csv
BCN-0014,El Pintor del Barrio,pintor decorator,+34626206636,+34 626 20 66 36,"Rambla de la Marina, 341, 08907 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Pintor,amb_barcelona_sin_web_20260102_223732.csv
BCN-0015,Agencia Font,jardinero,+34602098681,+34 602 09 86 81,"Carrer Font, 64, 08905 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Jardinero,amb_barcelona_sin_web_20260102_223732.csv
BCN-0016,Cerrajero Alex L'Hospitalet de Llobregat,cerrajero,+34680149670,+34 680 14 96 70,"Carrer de Vallparda, 08904 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Servei de serralleria d’urgències,amb_barcelona_sin_web_20260102_223732.csv
BCN-0017,Cerrajería Tecnillaves,cerrajero,+34666636553,+34 666 63 65 53,"Carrer d'Enric Prat de la Riba, 222, 08901 L'Hospitalet de Llobregat, Barcelona",L'Hospitalet de Llobregat,5.0,0,pending,2026-01-02,,False,,Botiga de panys,amb_barcelona_sin_web_20260102_223732.csv
